 [03:02:28]  INP: S 3, D 8, Dp 31, Sp 35, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [03:03:25]  OUT: S 8, D 5, Dp 9, Sp 34, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [03:03:26]  INP: S 5, D 8, Dp 34, Sp 9, Pr 1, Fl 0x01, Sz 4 VIA: KISS
 [03:03:27]  OUT: S 8, D 5, Dp 9, Sp 52, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [03:03:27]  INP: S 5, D 8, Dp 52, Sp 9, Pr 1, Fl 0x01, Sz 4 VIA: KISS
 [03:03:28]  OUT: S 8, D 5, Dp 9, Sp 38, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [03:03:29]  OUT: S 8, D 5, Dp 9, Sp 57, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [03:03:30]  INP: S 5, D 8, Dp 57, Sp 9, Pr 1, Fl 0x01, Sz 4 VIA: KISS
 [03:03:31]  OUT: S 8, D 5, Dp 9, Sp 43, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [03:03:31]  INP: S 5, D 8, Dp 43, Sp 9, Pr 1, Fl 0x01, Sz 4 VIA: KISS
 [03:03:32]  OUT: S 8, D 5, Dp 9, Sp 61, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [03:03:32]  INP: S 5, D 8, Dp 61, Sp 9, Pr 1, Fl 0x01, Sz 4 VIA: KISS
 [03:03:33]  OUT: S 8, D 5, Dp 9, Sp 47, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [03:03:35]  OUT: S 8, D 5, Dp 9, Sp 34, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [03:03:35]  INP: S 5, D 8, Dp 34, Sp 9, Pr 1, Fl 0x01, Sz 4 VIA: KISS
 [03:03:36]  OUT: S 8, D 5, Dp 9, Sp 52, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [03:03:37]  OUT: S 8, D 5, Dp 9, Sp 51, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [03:03:38]  INP: S 3, D 8, Dp 31, Sp 32, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [03:03:38]  OUT: S 8, D 5, Dp 9, Sp 38, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [03:03:39]  INP: S 5, D 8, Dp 38, Sp 9, Pr 1, Fl 0x01, Sz 4 VIA: KISS
 [03:03:58]  INP: S 3, D 8, Dp 31, Sp 36, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [03:03:59]  OUT: S 8, D 3, Dp 13, Sp 32, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [03:04:00]  INP: S 3, D 8, Dp 32, Sp 13, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [03:04:02]  OUT: S 8, D 3, Dp 13, Sp 49, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [03:04:04]  OUT: S 8, D 3, Dp 13, Sp 34, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [03:04:06]  OUT: S 8, D 3, Dp 13, Sp 51, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [03:04:07]  INP: S 3, D 8, Dp 51, Sp 13, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [03:04:09]  OUT: S 8, D 3, Dp 13, Sp 36, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [03:04:09]  INP: S 3, D 8, Dp 36, Sp 13, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [03:04:11]  OUT: S 8, D 3, Dp 13, Sp 54, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [03:04:11]  INP: S 3, D 8, Dp 54, Sp 13, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [03:04:13]  OUT: S 8, D 3, Dp 13, Sp 53, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [03:04:14]  INP: S 3, D 8, Dp 53, Sp 13, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [03:04:15]  OUT: S 8, D 3, Dp 13, Sp 53, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [03:04:16]  INP: S 3, D 8, Dp 53, Sp 13, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [03:04:18]  OUT: S 8, D 3, Dp 13, Sp 38, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [03:04:20]  OUT: S 8, D 3, Dp 13, Sp 55, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [04:42:08]  INP: S 3, D 8, Dp 31, Sp 45, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [04:42:18]  INP: S 3, D 8, Dp 31, Sp 34, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [04:42:38]  INP: S 3, D 8, Dp 31, Sp 46, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [04:42:48]  INP: S 3, D 8, Dp 31, Sp 37, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [04:42:58]  INP: S 3, D 8, Dp 31, Sp 60, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [04:43:08]  INP: S 3, D 8, Dp 31, Sp 49, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [04:43:18]  INP: S 3, D 8, Dp 31, Sp 40, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [04:43:28]  INP: S 3, D 8, Dp 31, Sp 63, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [04:43:38]  INP: S 3, D 8, Dp 31, Sp 52, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [04:43:48]  INP: S 3, D 8, Dp 31, Sp 43, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [04:43:58]  INP: S 3, D 8, Dp 31, Sp 34, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [04:44:08]  INP: S 3, D 8, Dp 31, Sp 55, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [04:44:18]  INP: S 3, D 8, Dp 31, Sp 46, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [04:44:28]  INP: S 3, D 8, Dp 31, Sp 37, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [04:44:38]  INP: S 3, D 8, Dp 31, Sp 60, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [04:44:48]  INP: S 3, D 8, Dp 31, Sp 49, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [04:44:58]  INP: S 3, D 8, Dp 31, Sp 40, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [04:45:08]  INP: S 3, D 8, Dp 31, Sp 63, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [04:45:18]  INP: S 3, D 8, Dp 31, Sp 44, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [04:45:28]  INP: S 3, D 8, Dp 31, Sp 35, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [04:45:38]  INP: S 3, D 8, Dp 31, Sp 55, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [04:45:48]  INP: S 3, D 8, Dp 31, Sp 46, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [04:45:58]  INP: S 3, D 8, Dp 31, Sp 37, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [04:46:08]  INP: S 3, D 8, Dp 31, Sp 60, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [04:46:18]  INP: S 3, D 8, Dp 31, Sp 49, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [04:46:28]  INP: S 3, D 8, Dp 31, Sp 39, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [04:46:38]  INP: S 3, D 8, Dp 31, Sp 51, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [04:46:48]  INP: S 3, D 8, Dp 31, Sp 42, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [04:46:58]  INP: S 3, D 8, Dp 31, Sp 32, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [04:47:08]  INP: S 3, D 8, Dp 31, Sp 53, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [04:47:28]  INP: S 3, D 8, Dp 31, Sp 35, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [04:47:48]  INP: S 3, D 8, Dp 31, Sp 47, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [04:47:58]  INP: S 3, D 8, Dp 31, Sp 38, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [04:48:08]  INP: S 3, D 8, Dp 31, Sp 61, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [04:48:28]  INP: S 3, D 8, Dp 31, Sp 41, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [04:48:38]  INP: S 3, D 8, Dp 31, Sp 32, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [04:48:58]  INP: S 3, D 8, Dp 31, Sp 44, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [04:49:28]  INP: S 3, D 8, Dp 31, Sp 47, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [04:50:08]  INP: S 3, D 8, Dp 31, Sp 51, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [04:50:38]  INP: S 3, D 8, Dp 31, Sp 34, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [04:50:58]  INP: S 3, D 8, Dp 31, Sp 46, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [04:51:18]  INP: S 3, D 8, Dp 31, Sp 60, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [04:51:48]  INP: S 3, D 8, Dp 31, Sp 63, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [15:05:18]  INP: S 3, D 8, Dp 31, Sp 44, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [15:05:28]  INP: S 3, D 8, Dp 31, Sp 35, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [15:05:58]  INP: S 3, D 8, Dp 31, Sp 38, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [15:06:08]  INP: S 3, D 8, Dp 31, Sp 59, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [15:06:38]  INP: S 3, D 8, Dp 31, Sp 40, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [15:06:48]  INP: S 3, D 8, Dp 31, Sp 63, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [15:06:58]  INP: S 3, D 8, Dp 31, Sp 52, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [15:07:38]  INP: S 3, D 8, Dp 31, Sp 46, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [15:07:58]  INP: S 3, D 8, Dp 31, Sp 60, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [15:08:28]  INP: S 3, D 8, Dp 31, Sp 51, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [15:08:48]  INP: S 3, D 8, Dp 31, Sp 33, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [15:09:08]  INP: S 3, D 8, Dp 31, Sp 35, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [15:09:28]  INP: S 3, D 8, Dp 31, Sp 47, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [15:09:48]  INP: S 3, D 8, Dp 31, Sp 62, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [15:09:58]  INP: S 3, D 8, Dp 31, Sp 51, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [15:10:08]  INP: S 3, D 8, Dp 31, Sp 42, Pr 2, Fl 0x01, Sz 116 VIA: KISS
