 [15:15:41]  Set Debug : True.
 [15:15:48]  INP: S 3, D 8, Dp 31, Sp 41, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [15:16:35]  OUT: S 8, D 5, Dp 9, Sp 56, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [15:16:37]  OUT: S 8, D 5, Dp 9, Sp 44, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [15:16:38]  OUT: S 8, D 5, Dp 9, Sp 32, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [15:16:41]  OUT: S 8, D 5, Dp 9, Sp 40, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [15:16:42]  OUT: S 8, D 5, Dp 9, Sp 59, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [15:16:43]  OUT: S 8, D 5, Dp 9, Sp 47, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [15:16:44]  INP: S 5, D 8, Dp 47, Sp 9, Pr 1, Fl 0x01, Sz 4 VIA: KISS
 [15:16:44]  OUT: S 8, D 5, Dp 9, Sp 35, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [15:16:46]  OUT: S 8, D 5, Dp 9, Sp 54, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [15:16:47]  OUT: S 8, D 5, Dp 9, Sp 42, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [15:16:48]  OUT: S 8, D 5, Dp 9, Sp 62, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [15:16:50]  OUT: S 8, D 5, Dp 9, Sp 50, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [15:16:51]  OUT: S 8, D 5, Dp 9, Sp 37, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [15:16:52]  OUT: S 8, D 5, Dp 9, Sp 57, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [15:16:54]  OUT: S 8, D 5, Dp 9, Sp 45, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [15:16:55]  OUT: S 8, D 5, Dp 9, Sp 57, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [15:16:56]  OUT: S 8, D 5, Dp 9, Sp 43, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [15:16:58]  OUT: S 8, D 5, Dp 9, Sp 63, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [15:16:59]  OUT: S 8, D 5, Dp 9, Sp 51, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [15:17:00]  OUT: S 8, D 5, Dp 9, Sp 39, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [15:17:02]  OUT: S 8, D 5, Dp 9, Sp 59, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [15:17:03]  OUT: S 8, D 5, Dp 9, Sp 46, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [15:17:04]  OUT: S 8, D 5, Dp 9, Sp 34, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [15:17:06]  OUT: S 8, D 5, Dp 9, Sp 54, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [15:17:07]  OUT: S 8, D 5, Dp 9, Sp 42, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [15:17:07]  INP: S 5, D 8, Dp 42, Sp 9, Pr 1, Fl 0x01, Sz 4 VIA: KISS
 [15:17:08]  INP: S 3, D 8, Dp 31, Sp 33, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [15:17:08]  OUT: S 8, D 5, Dp 9, Sp 62, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [15:17:28]  INP: S 3, D 8, Dp 31, Sp 39, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [15:17:29]  OUT: S 8, D 3, Dp 13, Sp 41, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:17:30]  OUT: S 8, D 3, Dp 13, Sp 62, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:17:32]  OUT: S 8, D 3, Dp 13, Sp 48, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:17:35]  OUT: S 8, D 3, Dp 13, Sp 34, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:17:37]  OUT: S 8, D 3, Dp 13, Sp 42, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:17:40]  OUT: S 8, D 3, Dp 13, Sp 59, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:17:42]  OUT: S 8, D 3, Dp 13, Sp 46, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:17:44]  OUT: S 8, D 3, Dp 13, Sp 33, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [00:12:12]  OUT: S 8, D 3, Dp 13, Sp 52, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:17:48]  OUT: S 8, D 3, Dp 13, Sp 38, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:18:04]  OUT: S 8, D 3, Dp 13, Sp 44, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:18:06]  OUT: S 8, D 3, Dp 13, Sp 33, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:18:08]  OUT: S 8, D 3, Dp 13, Sp 58, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:18:09]  OUT: S 8, D 3, Dp 13, Sp 33, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:18:12]  OUT: S 8, D 3, Dp 13, Sp 51, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:18:14]  OUT: S 8, D 3, Dp 13, Sp 38, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:18:14]  INP: S 3, D 8, Dp 38, Sp 13, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:18:16]  OUT: S 8, D 3, Dp 13, Sp 58, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:18:19]  OUT: S 8, D 3, Dp 13, Sp 37, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:18:21]  OUT: S 8, D 3, Dp 13, Sp 56, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:18:22]  OUT: S 8, D 3, Dp 13, Sp 44, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:18:39]  OUT: S 8, D 3, Dp 13, Sp 56, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:18:39]  INP: S 3, D 8, Dp 56, Sp 13, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:18:41]  OUT: S 8, D 3, Dp 13, Sp 43, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:18:42]  OUT: S 8, D 3, Dp 13, Sp 32, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:18:44]  OUT: S 8, D 3, Dp 13, Sp 46, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:18:46]  OUT: S 8, D 3, Dp 13, Sp 33, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:18:48]  OUT: S 8, D 3, Dp 13, Sp 48, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:18:51]  OUT: S 8, D 3, Dp 13, Sp 57, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:18:52]  OUT: S 8, D 3, Dp 13, Sp 47, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:18:54]  OUT: S 8, D 3, Dp 13, Sp 33, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:18:57]  OUT: S 8, D 3, Dp 13, Sp 52, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:19:13]  OUT: S 8, D 3, Dp 13, Sp 59, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:19:15]  OUT: S 8, D 3, Dp 13, Sp 46, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:19:18]  OUT: S 8, D 3, Dp 13, Sp 57, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:19:19]  OUT: S 8, D 3, Dp 13, Sp 45, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:19:21]  OUT: S 8, D 3, Dp 13, Sp 53, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [06:19:23]  OUT: S 8, D 3, Dp 13, Sp 42, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:19:23]  INP: S 3, D 8, Dp 42, Sp 13, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:19:25]  OUT: S 8, D 3, Dp 13, Sp 60, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:19:27]  OUT: S 8, D 3, Dp 13, Sp 36, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:19:30]  OUT: S 8, D 3, Dp 13, Sp 53, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:19:32]  OUT: S 8, D 3, Dp 13, Sp 39, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:19:48]  OUT: S 8, D 3, Dp 13, Sp 46, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:19:51]  OUT: S 8, D 3, Dp 13, Sp 52, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:19:53]  OUT: S 8, D 3, Dp 13, Sp 41, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:19:55]  OUT: S 8, D 3, Dp 13, Sp 59, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:19:58]  OUT: S 8, D 3, Dp 13, Sp 35, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:20:00]  OUT: S 8, D 3, Dp 13, Sp 54, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:20:02]  OUT: S 8, D 3, Dp 13, Sp 41, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:20:05]  OUT: S 8, D 3, Dp 13, Sp 51, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:20:06]  OUT: S 8, D 3, Dp 13, Sp 39, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:20:07]  OUT: S 8, D 3, Dp 13, Sp 60, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:20:24]  OUT: S 8, D 3, Dp 13, Sp 34, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:20:26]  OUT: S 8, D 3, Dp 13, Sp 55, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:20:28]  OUT: S 8, D 3, Dp 13, Sp 42, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:20:31]  OUT: S 8, D 3, Dp 13, Sp 49, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:20:33]  OUT: S 8, D 3, Dp 13, Sp 36, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:20:33]  INP: S 3, D 8, Dp 36, Sp 13, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:20:35]  OUT: S 8, D 3, Dp 13, Sp 55, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:20:38]  OUT: S 8, D 3, Dp 13, Sp 42, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:20:40]  OUT: S 8, D 3, Dp 13, Sp 60, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:20:41]  OUT: S 8, D 3, Dp 13, Sp 49, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:20:44]  OUT: S 8, D 3, Dp 13, Sp 57, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:21:00]  OUT: S 8, D 3, Dp 13, Sp 43, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:21:02]  OUT: S 8, D 3, Dp 13, Sp 53, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:21:04]  OUT: S 8, D 3, Dp 13, Sp 42, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:21:06]  OUT: S 8, D 3, Dp 13, Sp 60, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:21:08]  OUT: S 8, D 3, Dp 13, Sp 47, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:21:11]  OUT: S 8, D 3, Dp 13, Sp 34, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:21:13]  OUT: S 8, D 3, Dp 13, Sp 44, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:21:15]  OUT: S 8, D 3, Dp 13, Sp 62, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:21:17]  OUT: S 8, D 3, Dp 13, Sp 51, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:21:19]  OUT: S 8, D 3, Dp 13, Sp 38, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:21:35]  OUT: S 8, D 3, Dp 13, Sp 43, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:21:37]  OUT: S 8, D 3, Dp 13, Sp 63, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:21:38]  OUT: S 8, D 3, Dp 13, Sp 51, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:21:40]  OUT: S 8, D 3, Dp 13, Sp 38, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:21:42]  OUT: S 8, D 3, Dp 13, Sp 58, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:21:44]  OUT: S 8, D 3, Dp 13, Sp 45, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:21:46]  OUT: S 8, D 3, Dp 13, Sp 54, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:21:49]  OUT: S 8, D 3, Dp 13, Sp 41, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:21:51]  OUT: S 8, D 3, Dp 13, Sp 59, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:21:53]  OUT: S 8, D 3, Dp 13, Sp 46, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:22:10]  OUT: S 8, D 3, Dp 13, Sp 34, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:22:11]  OUT: S 8, D 3, Dp 13, Sp 54, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:22:13]  OUT: S 8, D 3, Dp 13, Sp 41, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:22:16]  OUT: S 8, D 3, Dp 13, Sp 50, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:22:18]  OUT: S 8, D 3, Dp 13, Sp 37, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:22:20]  OUT: S 8, D 3, Dp 13, Sp 56, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:22:22]  OUT: S 8, D 3, Dp 13, Sp 44, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:22:24]  OUT: S 8, D 3, Dp 13, Sp 63, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:22:26]  OUT: S 8, D 3, Dp 13, Sp 50, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:22:29]  OUT: S 8, D 3, Dp 13, Sp 37, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:22:45]  OUT: S 8, D 3, Dp 13, Sp 53, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:22:47]  OUT: S 8, D 3, Dp 13, Sp 39, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:22:50]  OUT: S 8, D 3, Dp 13, Sp 51, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:22:52]  OUT: S 8, D 3, Dp 13, Sp 37, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:22:54]  OUT: S 8, D 3, Dp 13, Sp 56, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:22:57]  OUT: S 8, D 3, Dp 13, Sp 42, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:22:58]  OUT: S 8, D 3, Dp 13, Sp 63, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:22:59]  OUT: S 8, D 3, Dp 13, Sp 51, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:23:01]  OUT: S 8, D 3, Dp 13, Sp 39, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:23:03]  OUT: S 8, D 3, Dp 13, Sp 58, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:23:19]  OUT: S 8, D 3, Dp 13, Sp 42, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:23:22]  OUT: S 8, D 3, Dp 13, Sp 61, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:23:23]  OUT: S 8, D 3, Dp 13, Sp 49, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:23:25]  OUT: S 8, D 3, Dp 13, Sp 36, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:23:28]  OUT: S 8, D 3, Dp 13, Sp 55, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:23:30]  OUT: S 8, D 3, Dp 13, Sp 42, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:23:31]  OUT: S 8, D 3, Dp 13, Sp 62, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:23:34]  OUT: S 8, D 3, Dp 13, Sp 49, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:23:36]  OUT: S 8, D 3, Dp 13, Sp 40, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:23:38]  OUT: S 8, D 3, Dp 13, Sp 46, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:23:55]  OUT: S 8, D 3, Dp 13, Sp 42, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:23:57]  OUT: S 8, D 3, Dp 13, Sp 61, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:23:59]  OUT: S 8, D 3, Dp 13, Sp 48, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:24:02]  OUT: S 8, D 3, Dp 13, Sp 35, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:24:04]  OUT: S 8, D 3, Dp 13, Sp 54, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:24:06]  OUT: S 8, D 3, Dp 13, Sp 32, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:24:09]  OUT: S 8, D 3, Dp 13, Sp 50, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:24:11]  OUT: S 8, D 3, Dp 13, Sp 37, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:24:12]  OUT: S 8, D 3, Dp 13, Sp 58, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:24:15]  OUT: S 8, D 3, Dp 13, Sp 44, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:24:31]  OUT: S 8, D 3, Dp 13, Sp 40, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:24:33]  OUT: S 8, D 3, Dp 13, Sp 59, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:24:36]  OUT: S 8, D 3, Dp 13, Sp 46, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:24:37]  OUT: S 8, D 3, Dp 13, Sp 34, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:24:39]  OUT: S 8, D 3, Dp 13, Sp 43, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:24:42]  OUT: S 8, D 3, Dp 13, Sp 62, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:24:44]  OUT: S 8, D 3, Dp 13, Sp 49, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:24:46]  OUT: S 8, D 3, Dp 13, Sp 35, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:24:48]  OUT: S 8, D 3, Dp 13, Sp 56, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:24:50]  OUT: S 8, D 3, Dp 13, Sp 42, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:25:06]  OUT: S 8, D 3, Dp 13, Sp 61, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:25:09]  OUT: S 8, D 3, Dp 13, Sp 48, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:25:11]  OUT: S 8, D 3, Dp 13, Sp 35, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:25:13]  OUT: S 8, D 3, Dp 13, Sp 54, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:25:16]  OUT: S 8, D 3, Dp 13, Sp 41, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:25:18]  OUT: S 8, D 3, Dp 13, Sp 59, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:25:20]  OUT: S 8, D 3, Dp 13, Sp 46, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:25:23]  OUT: S 8, D 3, Dp 13, Sp 33, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:25:25]  OUT: S 8, D 3, Dp 13, Sp 52, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:25:27]  OUT: S 8, D 3, Dp 13, Sp 38, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:25:44]  OUT: S 8, D 3, Dp 13, Sp 34, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:25:46]  OUT: S 8, D 3, Dp 13, Sp 53, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:25:48]  OUT: S 8, D 3, Dp 13, Sp 32, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:25:50]  OUT: S 8, D 3, Dp 13, Sp 53, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:25:52]  OUT: S 8, D 3, Dp 13, Sp 40, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:25:54]  OUT: S 8, D 3, Dp 13, Sp 59, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:25:56]  OUT: S 8, D 3, Dp 13, Sp 47, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:25:58]  OUT: S 8, D 3, Dp 13, Sp 34, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:26:00]  OUT: S 8, D 3, Dp 13, Sp 53, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [15:26:03]  OUT: S 8, D 3, Dp 13, Sp 40, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [16:56:53]  RDP: ERROR cannot send, connection reset
 [16:56:53]  RDP send failed!
 [17:00:26]  Half-open connection found, sending RST
 [17:00:26]  RDP 0x55d0fe9d9580: Half-open connection detected, RST sent, now retrying
 [17:00:32]  Half-open connection found, sending RST
 [17:00:33]  RDP 0x55d0fe9d9580: Connection stayed half-open, even after RST and retry!
