 [03:11:49]  INP: S 3, D 8, Dp 31, Sp 33, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [03:13:49]  INP: S 3, D 8, Dp 31, Sp 46, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [03:13:49]  OUT: S 8, D 5, Dp 1, Sp 61, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [03:13:53]  OUT: S 8, D 5, Dp 1, Sp 49, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [03:13:56]  OUT: S 8, D 5, Dp 1, Sp 36, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [03:13:59]  OUT: S 8, D 5, Dp 1, Sp 56, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [03:14:03]  OUT: S 8, D 5, Dp 1, Sp 43, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [03:14:06]  OUT: S 8, D 5, Dp 1, Sp 63, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [03:14:09]  OUT: S 8, D 5, Dp 1, Sp 49, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [03:14:13]  OUT: S 8, D 5, Dp 1, Sp 37, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [03:14:16]  OUT: S 8, D 5, Dp 1, Sp 56, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [03:14:19]  OUT: S 8, D 5, Dp 1, Sp 44, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [03:14:22]  OUT: S 8, D 5, Dp 1, Sp 63, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [03:14:26]  OUT: S 8, D 5, Dp 1, Sp 51, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [03:14:29]  OUT: S 8, D 5, Dp 1, Sp 38, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [03:14:32]  OUT: S 8, D 5, Dp 1, Sp 58, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [03:14:36]  OUT: S 8, D 5, Dp 1, Sp 45, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [03:14:39]  OUT: S 8, D 5, Dp 1, Sp 33, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [03:14:42]  OUT: S 8, D 5, Dp 1, Sp 52, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [03:14:46]  OUT: S 8, D 5, Dp 1, Sp 40, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [03:14:49]  OUT: S 8, D 5, Dp 1, Sp 59, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [03:14:52]  OUT: S 8, D 5, Dp 1, Sp 44, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [03:14:55]  OUT: S 8, D 5, Dp 1, Sp 63, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [03:14:59]  OUT: S 8, D 5, Dp 1, Sp 51, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [03:15:02]  OUT: S 8, D 5, Dp 1, Sp 38, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [03:15:05]  OUT: S 8, D 5, Dp 1, Sp 58, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [03:15:09]  OUT: S 8, D 5, Dp 1, Sp 45, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [04:50:14]  INP: S 3, D 8, Dp 31, Sp 41, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [04:50:34]  INP: S 3, D 8, Dp 31, Sp 47, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [15:04:02]  INP: S 3, D 8, Dp 31, Sp 44, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [15:04:12]  INP: S 3, D 8, Dp 31, Sp 54, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [15:04:22]  INP: S 3, D 8, Dp 31, Sp 41, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [15:04:42]  INP: S 3, D 8, Dp 31, Sp 47, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [15:04:52]  INP: S 3, D 8, Dp 31, Sp 34, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [15:05:02]  INP: S 3, D 8, Dp 31, Sp 52, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [15:05:12]  INP: S 3, D 8, Dp 31, Sp 61, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [15:05:22]  INP: S 3, D 8, Dp 31, Sp 48, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [15:05:32]  INP: S 3, D 8, Dp 31, Sp 35, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [15:05:42]  INP: S 3, D 8, Dp 31, Sp 54, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [15:05:52]  INP: S 3, D 8, Dp 31, Sp 41, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [15:06:02]  INP: S 3, D 8, Dp 31, Sp 60, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [15:06:12]  INP: S 3, D 8, Dp 31, Sp 47, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [15:06:22]  INP: S 3, D 8, Dp 31, Sp 34, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [15:06:32]  INP: S 3, D 8, Dp 31, Sp 53, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [15:06:42]  INP: S 3, D 8, Dp 31, Sp 40, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [15:07:02]  INP: S 3, D 8, Dp 31, Sp 46, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [15:07:12]  INP: S 3, D 8, Dp 31, Sp 33, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [15:07:22]  INP: S 3, D 8, Dp 31, Sp 62, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [15:07:32]  INP: S 3, D 8, Dp 31, Sp 49, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [15:07:42]  INP: S 3, D 8, Dp 31, Sp 36, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [15:07:52]  INP: S 3, D 8, Dp 31, Sp 45, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [15:08:12]  INP: S 3, D 8, Dp 31, Sp 51, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [15:08:22]  INP: S 3, D 8, Dp 31, Sp 38, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [15:08:32]  INP: S 3, D 8, Dp 31, Sp 57, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [15:08:42]  INP: S 3, D 8, Dp 31, Sp 44, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [15:09:02]  INP: S 3, D 8, Dp 31, Sp 40, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [15:09:12]  INP: S 3, D 8, Dp 31, Sp 59, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [15:09:22]  INP: S 3, D 8, Dp 31, Sp 46, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [15:09:32]  INP: S 3, D 8, Dp 31, Sp 55, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [15:09:42]  INP: S 3, D 8, Dp 31, Sp 42, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [15:09:52]  INP: S 3, D 8, Dp 31, Sp 61, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [15:10:12]  INP: S 3, D 8, Dp 31, Sp 35, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [15:10:22]  INP: S 3, D 8, Dp 31, Sp 54, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [15:10:32]  INP: S 3, D 8, Dp 31, Sp 41, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [15:10:52]  INP: S 3, D 8, Dp 31, Sp 47, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [15:11:02]  INP: S 3, D 8, Dp 31, Sp 34, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [15:11:32]  INP: S 3, D 8, Dp 31, Sp 59, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [15:11:52]  INP: S 3, D 8, Dp 31, Sp 33, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [15:12:02]  INP: S 3, D 8, Dp 31, Sp 51, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [15:12:32]  INP: S 3, D 8, Dp 31, Sp 35, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [15:12:42]  INP: S 3, D 8, Dp 31, Sp 54, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [15:13:32]  INP: S 3, D 8, Dp 31, Sp 63, Pr 2, Fl 0x01, Sz 116 VIA: KISS
